word,meaning,phonetic,grade,level
cat,猫,/kæt/,grade1,1
dog,狗,/dɒɡ/,grade1,1
apple,苹果,/ˈæp.əl/,grade1,1
book,书,/bʊk/,grade1,1
red,红色,/red/,grade1,1
blue,蓝色,/bluː/,grade1,1
car,汽车,/kɑːr/,grade2,2
house,房子,/haʊs/,grade2,2
school,学校,/skuːl/,grade2,2
friend,朋友,/frend/,grade2,2
beautiful,美丽的,/ˈbjuː.tɪ.fəl/,grade3,3
important,重要的,/ɪmˈpɔː.tənt/,grade3,3
different,不同的,/ˈdɪf.ər.ənt/,grade3,3
special,特殊的,/ˈspeʃ.əl/,grade3,3
understand,理解,/ˌʌn.dəˈstænd/,grade4,4
information,信息,/ˌɪn.fəˈmeɪ.ʃən/,grade4,4
development,发展,/dɪˈvel.əp.mənt/,grade5,5
environment,环境,/ɪnˈvaɪ.rən.mənt/,grade5,5
responsibility,责任,/rɪˌspɒn.səˈbɪl.ə.ti/,grade6,6
communication,沟通,/kəˌmjuː.nɪˈkeɪ.ʃən/,grade6,6
adolescence,青春期,/ˌæd.əˈles.əns/,grade7,7
phenomenon,现象,/fəˈnɒm.ɪ.nən/,grade7,7
democracy,民主,/dɪˈmɒk.rə.si/,grade8,8
philosophy,哲学,/fəˈlɒs.ə.fi/,grade8,8
revolution,革命,/ˌrev.əˈluː.ʃən/,grade9,9
civilization,文明,/ˌsɪv.əl.aɪˈzeɪ.ʃən/,grade9,9
entrepreneur,企业家,/ˌɒn.trə.prəˈnɜːr/,grade10,10
sustainability,可持续性,/səˌsteɪ.nəˈbɪl.ə.ti/,grade10,10
globalization,全球化,/ˌɡləʊ.bəl.aɪˈzeɪ.ʃən/,grade11,11
interdisciplinary,跨学科的,/ˌɪn.tə.dɪˈsɪp.lɪ.nər.i/,grade11,11
sophisticated,复杂的,/səˈfɪs.tɪ.keɪ.tɪd/,grade12,12
paradigm,范式,/ˈpær.ə.daɪm/,grade12,12
